GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
application/service,com.newage.fx.finance.service.exception,ServiceErrors,565,0,12,0,63,0,14,0,8,0
application/service,com.newage.fx.finance.service.exception,ServiceException,23,0,0,0,4,0,5,0,5,0
application/service,com.newage.fx.finance.service.client,FeignClientInterceptor,50,0,4,0,12,0,6,0,4,0
application/service,com.newage.fx.finance.service.impl,ShipmentDSRPostgresServiceImpl,475,0,66,0,96,0,37,0,4,0
application/service,com.newage.fx.finance.service.impl,WorkFlowServiceImpl,26,0,4,0,7,0,5,0,3,0
application/service,com.newage.fx.finance.service.impl,ChartOfAccountsServiceImpl,42,0,0,0,9,0,7,0,7,0
application/service,com.newage.fx.finance.service.impl,TaxMasterServiceImpl,51,0,0,0,11,0,7,0,7,0
application/service,com.newage.fx.finance.service.impl,UserMasterServiceImpl,35,0,2,0,8,0,5,0,4,0
application/service,com.newage.fx.finance.service.impl,ShipmentNewPostgresServiceImpl,462,0,64,0,93,0,36,0,4,0
application/service,com.newage.fx.finance.service.impl,MasterHeaderServiceImpl,15,0,0,0,5,0,3,0,3,0
application/service,com.newage.fx.finance.service.impl,WebUserColumnServiceImpl,134,0,8,0,34,0,8,0,4,0
application/service,com.newage.fx.finance.service.client.dto.response,CustomerAddressResponseDTO,45,0,0,0,8,0,13,0,13,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.CurrencyMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,CountryResponseDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,WorkFlowScreenResponseDTO,56,0,0,0,8,0,12,0,12,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.StateMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientPagesResponseDTO,241,0,46,0,9,0,38,0,15,0
application/service,com.newage.fx.finance.service.client.dto.response,CurrencyResponseDTO,86,0,0,0,11,0,18,0,18,0
application/service,com.newage.fx.finance.service.client.dto.response,TaxChargeServiceMappingResponseDTO,31,0,0,0,6,0,9,0,9,0
application/service,com.newage.fx.finance.service.client.dto.response,PortResponseDTO.CountryDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,ServiceResponseDTO,86,0,0,0,11,0,18,0,18,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.AgentMasterDTO,46,0,0,0,7,0,10,0,10,0
application/service,com.newage.fx.finance.service.client.dto.response,CurrencyResponseDTO.CountryMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientPagesResponseDTO.ResultPagesResponseDTO.SortDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,CurrencyRateResponseDTO.CompanyMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientResponseDTO.ResponseError,26,0,0,0,5,0,6,0,6,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.CityMasterDTO,26,0,0,0,5,0,6,0,6,0
application/service,com.newage.fx.finance.service.client.dto.response,CurrencyRateResponseDTO,126,0,0,0,15,0,26,0,26,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.CompanyMasterDTO,26,0,0,0,5,0,6,0,6,0
application/service,com.newage.fx.finance.service.client.dto.response,StateResponseDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,TaxMasterResponse,81,0,0,0,11,0,19,0,19,0
application/service,com.newage.fx.finance.service.client.dto.response,ChargeResponseDTO,46,0,0,0,7,0,10,0,10,0
application/service,com.newage.fx.finance.service.client.dto.response,CustomerAdditionalInfoResponseDTO,146,0,0,0,17,0,30,0,30,0
application/service,com.newage.fx.finance.service.client.dto.response,CurrencyRateResponseDTO.CurrencyMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO,86,0,0,0,11,0,18,0,18,0
application/service,com.newage.fx.finance.service.client.dto.response,DayBookMasterResponse,94,0,0,0,15,0,27,0,27,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientResponseDTO,241,0,46,0,9,0,38,0,15,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientPagesResponseDTO.ResultPagesResponseDTO.PageableDTO,66,0,0,0,9,0,14,0,14,0
application/service,com.newage.fx.finance.service.client.dto.response,CustomerResponseDTO,56,0,0,0,8,0,12,0,12,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientPagesResponseDTO.ResultPagesResponseDTO,116,0,0,0,14,0,24,0,24,0
application/service,com.newage.fx.finance.service.client.dto.response,TosResponseDTO,46,0,0,0,7,0,10,0,10,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.ZoneMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,CompanyResponseDTO,46,0,0,0,7,0,10,0,10,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.TimeZoneMasterDTO,66,0,0,0,9,0,14,0,14,0
application/service,com.newage.fx.finance.service.client.dto.response,PortResponseDTO,66,0,0,0,9,0,14,0,14,0
application/service,com.newage.fx.finance.service.client.dto.response,ClientPagesResponseDTO.ResponseError,26,0,0,0,5,0,6,0,6,0
application/service,com.newage.fx.finance.service.client.dto.response,UnitResponseDTO,46,0,0,0,7,0,10,0,10,0
application/service,com.newage.fx.finance.service.client.dto.response,DocumentTypeResponseDTO,24,0,0,0,5,0,7,0,7,0
application/service,com.newage.fx.finance.service.client.dto.response,CustomerAdditionalInfoResponseDTO.CustomerMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,BranchResponseDTO.CountryMasterDTO,36,0,0,0,6,0,8,0,8,0
application/service,com.newage.fx.finance.service.client.dto.response,TaxEntityMappingResponseDTO,38,0,0,0,7,0,11,0,11,0
application/service,com.newage.fx.finance.service.client.dto.response,GroupCompanyResponseDTO,56,0,0,0,8,0,12,0,12,0
application/service,com.newage.fx.finance.service.client.dto.response,TaxPercentageResponseDTO,52,0,0,0,9,0,15,0,15,0
